lattitude,longitude
29.724893,-95.363752
29.718435,-95.423555
29.771545,-95.411083
29.798249,-95.416933
29.718525,-95.274137
29.795268,-95.233977
29.76393,-95.173121
29.862532,-95.29998
29.689824,-95.252393
29.75415,-95.409498
29.773179,-95.314327
29.69843,-95.3569
29.721825,-95.318275
29.772179,-95.514203
29.685706,-95.434764
29.800187,-95.328888
29.740079,-95.446409
29.827869,-95.287485
29.759665,-95.256251
29.706787,-95.401748
29.987805,-95.353412
29.66688,-95.335133
29.61951,-95.191644
29.655503,-95.471663
29.89036,-95.392527
29.918595,-95.441194
29.911171,-95.341182
29.8586,-95.580768
29.741325,-95.560254
29.81093,-95.584639
29.744081,-95.487974
29.613602,-95.11937
29.935512,-95.397624
29.647023,-95.276656
29.573552,-95.130613
29.736295,-95.523292
29.926473,-95.60379
29.957234,-95.503258
30.007063,-95.488362
29.988455,-95.5312
29.979648,-95.572877
29.651728,-95.519919
29.999166,-95.400119
29.687947,-95.515725
29.62042,-95.268939
29.860021,-95.382184
29.750233,-95.615383
29.852397,-95.2541
29.776093,-95.603037
29.827486,-95.65992
29.620509,-95.485333
29.881487,-95.452619
29.586959,-95.225601
30.00824,-95.438996
29.853067,-95.435966
29.8634,-95.341409
29.769285,-95.681292
29.909513,-95.651476
29.675339,-95.479372
30.053105,-95.157943
30.017301,-95.286217
30.046777,-95.221022
29.994499,-95.177499
29.945205,-95.259778
29.745247,-95.741783
29.853215,-95.831456
29.740677,-95.829652
30.046777,-95.221022
30.053105,-95.157943
29.994499,-95.177499
29.561554,-95.279739
29.545041,-95.350629
29.515074,-95.192133
